NOMBRE LINEA;NOMBRE GRUPO;CODIGOPRODUCTO;;MARCA;EXISTENCIA SANTA;INTERCAMBIO
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;G-23100E;AMORTIGUADOR, TRAS.SILVERADO 1500 91-99 SILVERADO 3500 92-00;GABRIEL;0;32225
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;G-23104E;AMORTIGUADOR, TRAS.SILVERADO 1500 91-99 SILVERADO 3500 92-00;GABRIEL;0;32225
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;32226;AMORTIGUADOR, DELT.F-350 4X2 87-91;MONROE;1;32226
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;23063;AMORTIGUADOR, DELT.BRONCO 87-99 BRONCO 87-99 (INTERNO) LUV D-MAX 05-13 (CON BARRA DE TORSION) F-150 80-96 F-150 80-96 (INTERNO) F-350 4X2 80-91 BT-50 08-13;GABRIEL;0;32227
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;32227;AMORTIGUADOR, DELT.BRONCO 87-99 BRONCO 87-99 (INTERNO) LUV D-MAX 05-13 (CON BARRA DE TORSION) F-150 80-96 F-150 80-96 (INTERNO) F-350 4X2 80-91 BT-50 08-13;MONROE;1;32227
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;34729;AMORTIGUADOR, DELT.BRONCO 87-99 BRONCO 87-99 (INTERNO) LUV D-MAX 05-13 (CON BARRA DE TORSION) F-150 80-96 F-150 80-96 (INTERNO) F-350 4X2 80-91 BT-50 08-13;MONROE;2;32227
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;34730;AMORTIGUADOR, DELT.BRONCO 87-99 BRONCO 87-99 (INTERNO) LUV D-MAX 05-13 (CON BARRA DE TORSION) F-150 80-96 F-150 80-96 (INTERNO) F-350 4X2 80-91 BT-50 08-13;MONROE;1;32227
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;53063;AMORTIGUADOR, DELT.BRONCO 87-99 BRONCO 87-99 (INTERNO) LUV D-MAX 05-13 (CON BARRA DE TORSION) F-150 80-96 F-150 80-96 (INTERNO) F-350 4X2 80-91 BT-50 08-13;GABRIEL;0;32227
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;37034ST;AMORTIGUADOR, DELT.BRONCO 87-99 BRONCO 87-99 (INTERNO) LUV D-MAX 05-13 (CON BARRA DE TORSION) F-150 80-96 F-150 80-96 (INTERNO) F-350 4X2 80-91 BT-50 08-13;MONROE;0;32227
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;37095ST;AMORTIGUADOR, DELT.BRONCO 87-99 BRONCO 87-99 (INTERNO) LUV D-MAX 05-13 (CON BARRA DE TORSION) F-150 80-96 F-150 80-96 (INTERNO) F-350 4X2 80-91 BT-50 08-13;MONROE;0;32227
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;G-22203E;AMORTIGUADOR, DELT.BRONCO 87-99 BRONCO 87-99 (INTERNO) LUV D-MAX 05-13 (CON BARRA DE TORSION) F-150 80-96 F-150 80-96 (INTERNO) F-350 4X2 80-91 BT-50 08-13;GABRIEL;1;32227
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;23064;AMORTIGUADOR, TRAS.BRONCO 80-96 F-150 4X2 80-84;GABRIEL;0;32228
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;32228;AMORTIGUADOR, TRAS.BRONCO 80-96 F-150 4X2 80-84;MONROE;2;32228
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;34927;AMORTIGUADOR, TRAS.BRONCO 80-96 F-150 4X2 80-84;MONROE;1;32228
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;37037ST;AMORTIGUADOR, TRAS.BRONCO 80-96 F-150 4X2 80-84;MONROE;0;32228
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;32235;AMORTIGUADOR, DELT.EXPLORER 91-94;MONROE;1;32235
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;34760;AMORTIGUADOR, DELT.EXPLORER 91-94;MONROE;3;32235
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;37015ST;AMORTIGUADOR, DELT.EXPLORER 91-94;MONROE;1;32235
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;32239;AMORTIGUADOR, TRAS.F-150 4X4 80-89 F-350 4X4 80-97;MONROE;1;32239
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;34930;AMORTIGUADOR, TRAS.F-150 4X4 80-89 F-350 4X4 80-97;MONROE;1;32239
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;32196;AMORTIGUADOR, DELT.CHEROKEE XJ 84-01 COMANCHE 86-92 GRAND CHEROKEE ZJ 93-98 GRAND CHEROKEE WJ 99-05 WAGONEER 84-90 WRANGLER 97-06;MONROE;1;32252
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;32252;AMORTIGUADOR, DELT.CHEROKEE XJ 84-01 COMANCHE 86-92 GRAND CHEROKEE ZJ 93-98 GRAND CHEROKEE WJ 99-05 WAGONEER 84-90 WRANGLER 97-06;MONROE;0;32252
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;32338;AMORTIGUADOR, DELT.CHEROKEE XJ 84-01 COMANCHE 86-92 GRAND CHEROKEE ZJ 93-98 GRAND CHEROKEE WJ 99-05 WAGONEER 84-90 WRANGLER 97-06;MONROE;0;32252
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;835104;AMORTIGUADOR, DELT.CHEROKEE XJ 84-01 COMANCHE 86-92 GRAND CHEROKEE ZJ 93-98 GRAND CHEROKEE WJ 99-05 WAGONEER 84-90 WRANGLER 97-06;BOGE;0;32252
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;37081N;AMORTIGUADOR, DELT.CHEROKEE XJ 84-01 COMANCHE 86-92 GRAND CHEROKEE ZJ 93-98 GRAND CHEROKEE WJ 99-05 WAGONEER 84-90 WRANGLER 97-06;MONROE;1;32252
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;37083ST;AMORTIGUADOR, DELT.CHEROKEE XJ 84-01 COMANCHE 86-92 GRAND CHEROKEE ZJ 93-98 GRAND CHEROKEE WJ 99-05 WAGONEER 84-90 WRANGLER 97-06;MONROE;0;32252
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;37161ST;AMORTIGUADOR, DELT.CHEROKEE XJ 84-01 COMANCHE 86-92 GRAND CHEROKEE ZJ 93-98 GRAND CHEROKEE WJ 99-05 WAGONEER 84-90 WRANGLER 97-06;MONROE;0;32252
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;G-23119E;AMORTIGUADOR, DELT.CHEROKEE XJ 84-01 COMANCHE 86-92 GRAND CHEROKEE ZJ 93-98 GRAND CHEROKEE WJ 99-05 WAGONEER 84-90 WRANGLER 97-06;GABRIEL;0;32252
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;G-23137E;AMORTIGUADOR, DELT.CHEROKEE XJ 84-01 COMANCHE 86-92 GRAND CHEROKEE ZJ 93-98 GRAND CHEROKEE WJ 99-05 WAGONEER 84-90 WRANGLER 97-06;GABRIEL;0;32252
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;32253;AMORTIGUADOR, TRAS.EXPLORER 91-01 EXPLORER 01-03 (2 PUERTAS) SPORT TRAC 01-05;MONROE;1;32253
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;53112;AMORTIGUADOR, TRAS.EXPLORER 91-01 EXPLORER 01-03 (2 PUERTAS) SPORT TRAC 01-05;GABRIEL;0;32253
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;835108;AMORTIGUADOR, TRAS.EXPLORER 91-01 EXPLORER 01-03 (2 PUERTAS) SPORT TRAC 01-05;BOGE;1;32253
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;835183;AMORTIGUADOR, TRAS.EXPLORER 91-01 EXPLORER 01-03 (2 PUERTAS) SPORT TRAC 01-05;BOGE;0;32253
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;37035ST;AMORTIGUADOR, TRAS.EXPLORER 91-01 EXPLORER 01-03 (2 PUERTAS) SPORT TRAC 01-05;MONROE;0;32253
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;G-23112;AMORTIGUADOR, TRAS.EXPLORER 91-01 EXPLORER 01-03 (2 PUERTAS) SPORT TRAC 01-05;GABRIEL;0;32253
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;32263;AMORTIGUADOR, DELT.SILVERADO 1500 4X4 91-99 GRAND BLAZER 4X4 92-99;MONROE;1;32263
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;34984;AMORTIGUADOR, DELT.SILVERADO 1500 4X4 91-99 GRAND BLAZER 4X4 92-99;MONROE;0;32263
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;G-23103E;AMORTIGUADOR, DELT.SILVERADO 1500 4X4 91-99 GRAND BLAZER 4X4 92-99;GABRIEL;0;32263
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;32264;AMORTIGUADOR, TRAS.GRAND BLAZER 4X2 92-99 EXPRESS 1500 06-09;MONROE;1;32264
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;34762;AMORTIGUADOR, TRAS.GRAND BLAZER 4X2 92-99 EXPRESS 1500 06-09;MONROE;3;32264
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;37085ST;AMORTIGUADOR, TRAS.GRAND BLAZER 4X2 92-99 EXPRESS 1500 06-09;MONROE;1;32264
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;32265;AMORTIGUADOR, TRAS.GRAND BLAZER 4X4 92-99 EXPRESS 3500 06-09;MONROE;1;32265
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;34763;AMORTIGUADOR, TRAS.GRAND BLAZER 4X4 92-99 EXPRESS 3500 06-09;MONROE;0;32265
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;32266;AMORTIGUADOR, TRAS.GRAND BLAZER 4X4 92-99 EXPRESS 3500 06-09;MONROE;1;32266
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;34767;AMORTIGUADOR, TRAS.GRAND BLAZER 4X4 92-99 EXPRESS 3500 06-09;MONROE;1;32266
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;32269;AMORTIGUADOR, TRAS.GRAND CHEROKEE ZJ 93-98;MONROE;2;32269
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;37082N;AMORTIGUADOR, TRAS.GRAND CHEROKEE ZJ 93-98;MONROE;1;32269
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;37082ST;AMORTIGUADOR, TRAS.GRAND CHEROKEE ZJ 93-98;MONROE;1;32269
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;G-23120E;AMORTIGUADOR, TRAS.GRAND CHEROKEE ZJ 93-98;GABRIEL;0;32269
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;32271;AMORTIGUADOR, DELT.CARIBE 87-93 RODEO 91-04;MONROE;0;32271
AMORTIGUADORES    ;AMORTIGUADOR NORMAL DODGE  ;32278;AMORTIGUADOR, TRAS.RAM 2500 97-02 RAM 4000 97-02 SILVERADO 1500 4X2 99-06;MONROE;0;32278
AMORTIGUADORES    ;AMORTIGUADOR NORMAL DODGE  ;G-63662;AMORTIGUADOR, TRAS.RAM 2500 97-02 RAM 4000 97-02 SILVERADO 1500 4X2 99-06;GABRIEL;1;32278
AMORTIGUADORES    ;AMORTIGUADOR NORMAL DODGE  ;32290;AMORTIGUADOR, TRAS.CARAVAN 91-07 GRAND CARAVAN 95-07 TOWN & COUNTRY 95-07;MONROE;1;37123ST
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;32296;AMORTIGUADOR, DELT.EXPLORER 4X4 95-01 EXPLORER 4X4 01-03 (2 PUERTAS) RANGER 98-11 (CON BARRA DE TORSION) SPORT TRAC 4X4 01-05;MONROE;1;32296
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;37122ST;AMORTIGUADOR, DELT.EXPLORER 4X4 95-01 EXPLORER 4X4 01-03 (2 PUERTAS) RANGER 98-11 (CON BARRA DE TORSION) SPORT TRAC 4X4 01-05;MONROE;0;32296
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;G-23111;AMORTIGUADOR, DELT.EXPLORER 4X4 95-01 EXPLORER 4X4 01-03 (2 PUERTAS) RANGER 98-11 (CON BARRA DE TORSION) SPORT TRAC 4X4 01-05;GABRIEL;0;32296
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;32300;AMORTIGUADOR, DELT.BLAZER 4X2 91-03 GRAND BLAZER 4X2 92-98 SILVERADO 1500 4X2 91-99 SILVERADO 3500 4X2 92-00;MONROE;0;32300
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;37129ST;AMORTIGUADOR, DELT.BLAZER 4X2 91-03 GRAND BLAZER 4X2 92-98 SILVERADO 1500 4X2 91-99 SILVERADO 3500 4X2 92-00;MONROE;1;32300
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;G-22154;AMORTIGUADOR, DELT.BLAZER 4X2 91-03 GRAND BLAZER 4X2 92-98 SILVERADO 1500 4X2 91-99 SILVERADO 3500 4X2 92-00;GABRIEL;0;32300
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;32302;AMORTIGUADOR, DELT.EXPEDITION 4X2 97-02 F-150 4X2 97-08;MONROE;0;32302
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;32340;AMORTIGUADOR, DELT.EXPEDITION 4X2 97-02 F-150 4X2 97-08;MONROE;2;32302
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;34655;AMORTIGUADOR, DELT.EXPEDITION 4X2 97-02 F-150 4X2 97-08;MONROE;1;32302
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;37131ST;AMORTIGUADOR, DELT.EXPEDITION 4X2 97-02 F-150 4X2 97-08;MONROE;0;32302
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;32303;AMORTIGUADOR, TRAS.F-150 4X2 97-08;MONROE;0;32303
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;34656;AMORTIGUADOR, TRAS.F-150 4X2 97-08;MONROE;1;32303
